trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.8, 'e': 0.08400378517157236}",25,6,30.55407508536802,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.08123858562270124}",20,0,16.1474163670872,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.8, 'e': 0.07856440969293797}",25,19,15.984999380592289,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.07597826110693648}",20,14,9.489312550821442,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.07347724221942077}",20,11,17.348574850904342,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.07105855076852416}",20,10,15.982267382657117,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.06871947673600004}",30,6,32.244906017048216,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.06645739931078715}",20,9,-23.760030886645414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.8, 'e': 0.06426978395252679}",25,12,-36.28026457611698,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
83,False,"{'a': 0.8, 'e': 0.062154179551741844}",20,7,14.17941373366093,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.06010821568349589}",20,9,12.794810043944555,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.05812959995145506}",20,11,17.383890796459852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.05621611541937687}",30,12,29.012499467368592,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.05436561812714828}",25,18,15.858741339532303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.05257603468858956}",20,11,16.225274798979385,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.05084535996833279}",25,10,25.07796327996179,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.04917165483517168}",25,18,11.105639931655988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,22.069175234072016,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,11.428489428975038,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,15.662415333595334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,24.264794326895757,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,19,22.205373083278584,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,22.89069967163913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,32.74048931586317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,8,21.260645423808924,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,18.58842542551527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,22,16.641127372263945,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
